Node1,Sign,Node2,Weight
ABL1,1,ERCC6,1
ABL1,1,PSTPIP1,1
ABL1,1,STAT1,1
ABL1,1,TOP1,1
AKT1,-1,IRAK1,1
AKT1,-1,NR3C1,1
AKT1,1,CDK2,1
AKT1,1,CLK2,1
AKT1,1,GLI2,1
AKT1,1,HIF1A,1
AKT1,1,HNRNPK,1
AKT1,1,PRKACA,1
AKT1,1,RBM17,1
AKT1,1,SCYL1,1
ARVCF,1,CDH5,1
CAPN1,-1,RDX,1
CAPN1,-1,TNS1,1
CASP2,-1,GOLGA3,1
CCAR2,-1,SIRT1,1
CDC7,1,PSIP1,1
CDK2,-1,SMAD3,1
CDK2,1,ABL1,1
CDK2,1,H1_5,1
CDK2,1,SF3B1,1
CEBPA,1,ADH1B,1
CEBPE,1,CTSG,1
CHKA,-1,PLIN3,1
CHKA,1,DVL1P1,1
CLK2,1,EIF4A3,1
CLK2,1,PRKACA,1
CLK2,1,RUVBL2,1
CLK2,1,U2AF1,1
COL6A1,1,ITGA1,1
COL6A3,1,ITGA1,1
CSNK2A1,-1,CASP2,1
CSNK2A1,-1,SPTBN1,1
CSNK2A1,-1,YWHAQ,1
CSNK2A1,1,AKT1,1
CSNK2A1,1,CCAR2,1
CSNK2A1,1,EIF2S2,1
CSNK2A1,1,HNRNPK,1
CSNK2A1,1,PACS1,1
CSNK2A1,1,PIAS1,1
CSNK2A1,1,RBM17,1
CSNK2A1,1,TCOF1,1
CSNK2A1,1,WAS,1
CTSG,-1,SERPIND1,1
DNM2,1,MYO1C,1
DVL1P1,1,PRKCA,1
EIF2S2,1,RPS13,1
EIF2S2,1,RPS24,1
EIF2S2,1,RPS4X,1
EIF2S2,1,RPS9,1
ERCC6,1,TCEA1,1
GEM,-1,ROCK2,1
GLI2,-1,LUM,1
HIF1A,1,ALDOA,1
HNF1A,1,ALDOB,1
HNRNPA1,1,TRA2B,1
IL5,1,PTAFR,1
IRAK1,1,GLIPR2,1
KAT5,1,CHKA,1
LAMA4,1,ITGA1,1
MAPK14,1,BAZ1B,1
MAPK14,1,CSNK2A1,1
MAPK14,1,STAT1,1
MAPK14,1,USF1,1
MAPK8,-1,NR3C1,1
MAPK8,1,AKT1,1
MAPK8,1,FBL,1
MAPK8,1,HNF1A,1
MAPK8,1,HNRNPK,1
MAPK8,1,MAPK14,1
MAPK8,1,OSBP2,1
MAPK8,1,PPARA,1
MAPK8,1,RUVBL2,1
MAPK8,1,SF3B1,1
MAPK8,1,STAT1,1
MEF2D,1,DES,1
MEF2D,1,MYH10,1
Metab__Linoleic acid_c,1,HMGCS2,1
"Metab__1,4-Butanediamine, N,N'-bis(3-aminopropyl)-_c",1,MAPK8,1
NR1H4,1,DCN,1
NR3C1,-1,IL5,1
NR3C1,1,CEBPA,1
NR3C1,1,SMAD3,1
PIAS1,-1,FHL1,1
PIAS1,1,AKT1,1
PIAS1,1,STAT1,1
PPARA,-1,HSD17B4,1
PPARA,1,HMGCS2,1
PRKACA,-1,SPTBN1,1
PRKACA,1,CAPN1,1
PRKACA,1,HNRNPK,1
PRKACA,1,RUVBL2,1
PRKACA,1,STK11,1
PRKACA,1,TTF2,1
PRKCA,-1,GFPT1,1
PRKCA,-1,HNRNPA1,1
PRKCA,1,CSPG4,1
PRKCA,1,LAMA4,1
PRKCA,1,NR1H4,1
PRKCA,1,PSEN1,1
PRKCA,1,RRAS2,1
PRKCA,1,TJP1,1
PRKCA,1,YWHAQ,1
PSEN1,-1,HM13,1
PSIP1,1,ADH4,1
PSTPIP1,-1,DNM2,1
PTAFR,-1,MCAM,1
ROCK2,1,PIP4K2C,1
RUVBL2,1,CAD,1
RUVBL2,1,DKC1,1
RUVBL2,1,HSPD1,1
SIRT1,1,KAT5,1
SMAD3,-1,ZEB1,1
SMAD3,1,COL6A1,1
SMAD3,1,COL6A3,1
STAT1,-1,CDC7,1
STAT1,-1,NR1H4,1
STAT1,1,ADAR,1
STAT1,1,CEBPE,1
STAT1,1,PPARA,1
STK11,1,HDLBP,1
TJP1,1,ARVCF,1
TTF2,1,CDC5L,1
U2AF1,1,SNRPA1,1
USF1,1,P4HA1,1
USF1,1,SERBP1,1
WAS,1,ARPC5L,1
YWHAQ,-1,CCAR1,1
YWHAQ,1,GEM,1
YWHAQ,1,MEF2D,1
ZEB1,-1,CDH13,1
