Node1,Sign,Node2,Weight
ATF6,1,SEL1L,1
CAMK2A,1,ATF6,1
CASP3,-1,EIF2S3,1
CASP3,1,ROCK1,1
CASP3,1,SPTAN1,1
CASP3,1,SPTBN1,1
CDK1,1,CSNK2B,1
CDK1,1,RPS6KB1,1
CSNK2B,1,USO1,1
E2F4,-1,PLK1,1
E2F4,1,CDK1,1
GNAI1,1,SRC,1
HNF4A,1,SERPINC1,1
HRH2,1,GNAI1,1
MAX,1,RPL11,1
Metab__Histamine_c,1,HRH2,1
PLK1,1,ROCK2,1
PLK1,1,YY1,1
PPP2CA,-1,PRKCD,1
PPP2CA,1,CAMK2A,1
PPP2CA,1,EEF2,1
PPP2CA,1,MAX,1
PPP2CA,1,RPS6KB1,1
PPP2CA,1,SMAD3,1
PRKCD,-1,PRKDC,1
PRKCD,1,CASP3,1
ROCK1,1,ADD1,1
RPS6KB1,1,PHB2,1
RPS6KB1,1,RPS2,1
RPS6KB1,1,RPS23,1
RPS6KB1,1,RPS8,1
SERPINC1,-1,HMGB1,1
SMAD3,1,E2F4,1
SMAD3,1,MAX,1
SRC,-1,HNF4A,1
SRC,-1,PPP2CA,1
SRC,1,PRKCD,1
SRC,1,SPTAN1,1
YY1,-1,SNX27,1
