Node1,Sign,Node2,Weight
AR,1,DDC,1
DDC,1,Enzyme895__DDC,1
Enzyme10473__PLPBP,1,Metab__D-Alanine_c,1
Enzyme1765__orphanReacALAtmi,1,Metab__L-Alanine_m,1
Enzyme263900002__SLC3A2_SLC7A6_TRANSPORTER1_TRANSPORTER3,1,Metab__L-Alanine_c,1
Enzyme895__DDC,1,Metab__Histamine_c,1
MDM2,-1,AR,0.5
Metab__L-Alanine_c,1,Enzyme10473__PLPBP,1
Metab__L-Alanine_c,1,Enzyme1765__orphanReacALAtmi,1
PRKDC,1,MDM2,0.5
PRKDC,1,TP53,0.5
RPL23,1,TP53,0.5
SLC3A2,1,Enzyme263900002__SLC3A2_SLC7A6_TRANSPORTER1_TRANSPORTER3,1
TP53,-1,AR,0.5
ATF6,1,SEL1L,1
CAMK2A,1,ATF6,1
CASP3,-1,EIF2S3,1
CASP3,1,ROCK1,1
CASP3,1,SPTAN1,1
CASP3,1,SPTBN1,1
CDK1,1,CSNK2B,1
CDK1,1,RPS6KB1,1
CSNK2B,1,USO1,1
E2F4,-1,PLK1,1
E2F4,1,CDK1,1
GNAI1,1,SRC,1
HNF4A,1,SERPINC1,1
HRH2,1,GNAI1,1
MAX,1,RPL11,1
Metab__Histamine_c,1,HRH2,1
PLK1,1,ROCK2,1
PLK1,1,YY1,1
PPP2CA,-1,PRKCD,1
PPP2CA,1,CAMK2A,1
PPP2CA,1,EEF2,1
PPP2CA,1,MAX,1
PPP2CA,1,RPS6KB1,1
PPP2CA,1,SMAD3,1
PRKCD,-1,PRKDC,1
PRKCD,1,CASP3,1
ROCK1,1,ADD1,1
RPS6KB1,1,PHB2,1
RPS6KB1,1,RPS2,1
RPS6KB1,1,RPS23,1
RPS6KB1,1,RPS8,1
SERPINC1,-1,HMGB1,1
SMAD3,1,E2F4,1
SMAD3,1,MAX,1
SRC,-1,HNF4A,1
SRC,-1,PPP2CA,1
SRC,1,PRKCD,1
SRC,1,SPTAN1,1
YY1,-1,SNX27,1
