Node1,Sign,Node2,Weight
AR,1,SMS,0.22
ARG1,1,Enzyme3632__ARG1,0.99
CAT,-1,JUN,0.01
CAV1,-1,SLC1A1,0.26
CEBPB,1,ARG1,0.73
CEBPB,1,GOT1,0.74
CPT1A,1,Enzyme213__CPT1A,0.22
CPT1A,1,Enzyme214__CPT1A_reverse,0.23
CPT1A,1,Enzyme222__CPT1A,0.09
CPT1A,1,Enzyme2533__CPT1A,0.41
CPT1A,1,Enzyme4557__CPT1A,0.32
CPT1A,1,Enzyme4560__CPT1A,0.23
CPT1A,1,Enzyme5913__CPT1A,0.18
CPT1A,1,Enzyme6441__CPT1A,0.05
CPT1A,1,Enzyme6462__CPT1A,0.41
CPT1A,1,Enzyme6466__CPT1A,0.41
CPT1A,1,Enzyme8233__CPT1A_reverse,0.15
CPT1A,1,Enzyme8235__CPT1A,0.21
CPT1A,1,Enzyme9733__CPT1A_CPT2,0.41
CPT1A,1,Enzyme9734__CPT1A_CPT2,0.41
CPT1B,1,Enzyme213__CPT1B,0.32
CPT1B,1,Enzyme222__CPT1B,0.13
CPT1B,1,Enzyme2533__CPT1B,0.5
CPT1B,1,Enzyme4557__CPT1B,0.06
CPT1B,1,Enzyme4560__CPT1B,0.16
CPT1B,1,Enzyme5913__CPT1B,0.14
CPT1B,1,Enzyme6441__CPT1B,0.08
CPT1B,1,Enzyme6462__CPT1B,0.5
CPT1B,1,Enzyme6466__CPT1B,0.5
CPT1B,1,Enzyme8233__CPT1B_reverse,0.03
CPT1B,1,Enzyme8235__CPT1B,0.03
CPT1C,1,Enzyme213__CPT1C,0.05
CPT1C,1,Enzyme222__CPT1C,0.04
CPT1C,1,Enzyme2533__CPT1C,0.09
CPT1C,1,Enzyme4557__CPT1C,0.04
CPT1C,1,Enzyme4560__CPT1C,0.01
CPT1C,1,Enzyme5913__CPT1C,0.03
CPT1C,1,Enzyme6462__CPT1C,0.09
CPT1C,1,Enzyme6466__CPT1C,0.09
CPT2,1,Enzyme1453__CPT2_reverse,0.19
CPT2,1,Enzyme214__CPT2_reverse,0.33
CPT2,1,Enzyme4562__CPT2,0.22
CPT2,1,Enzyme5686__CPT2_reverse,0.17
CPT2,1,Enzyme5914__CPT2_reverse,0.07
CPT2,1,Enzyme8234__CPT2_reverse,0.06
