Node1,Sign,Node2,Weight
AR,1,DDC,1
CREB3L1,-1,SLC1A4,0.33333333333333326
DDC,1,Enzyme895__DDC,1
Enzyme12800002__SLC1A4,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme12800002__SLC1A5,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme13000002__SLC1A4,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme13000002__SLC1A5,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme272700002__SLC1A4,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme362__SULT1E1,1,Metab__Prasterone sulfate_c,1
Enzyme558500002__SLC1A5,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme558600002__SLC1A4,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme558600002__SLC1A5,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme559000002__SLC1A5,1,Metab__L-Alanine_c,0.1111111111111111
Enzyme895__DDC,1,Metab__Histamine_c,1
MAPK3,-1,MYB,0.5555555555555556
MAPK3,-1,PTPN6,1
MAPK3,1,CREB3L1,0.33333333333333326
MAPK3,1,SULT1E1,1
Metab__Histamine_c,1,MAPK3,1
MYB,1,SLC1A5,0.5555555555555556
PTPN6,-1,VAV3,1
SLC1A4,1,Enzyme12800002__SLC1A4,0.1111111111111111
SLC1A4,1,Enzyme13000002__SLC1A4,0.1111111111111111
SLC1A4,1,Enzyme558600002__SLC1A4,0.1111111111111111
SLC1A5,1,Enzyme12800002__SLC1A5,0.1111111111111111
SLC1A5,1,Enzyme13000002__SLC1A5,0.1111111111111111
SLC1A5,1,Enzyme558500002__SLC1A5,0.1111111111111111
SLC1A5,1,Enzyme558600002__SLC1A5,0.1111111111111111
SLC1A5,1,Enzyme559000002__SLC1A5,0.1111111111111111
SULT1E1,1,Enzyme362__SULT1E1,1
VAV3,1,AR,1
