Node1,Sign,Node2,Weight
CAD,1,Enzyme5635__CAD_reverse,1
CAV1,-1,DPP4,1
CAV1,-1,PPP2CA,0.13636363636363635
CPT1A,1,Enzyme8232__CPT1A_reverse,0.36363636363636365
CPT1B,1,Enzyme8232__CPT1B_reverse,0.3181818181818182
CPT1C,1,Enzyme8232__CPT1C_reverse,0.3181818181818182
Enzyme1579__XDH,1,Metab__Xanthine_c,0.5
Enzyme487500002__SLC47A1,1,Metab__Creatinine_c,1
Enzyme547000002__SLC25A13,1,Metab__L-Aspartic acid_m,1
Enzyme5635__CAD_reverse,1,Metab__L-Aspartic acid_c,1
Enzyme8232__CPT1A_reverse,1,Metab__Dodecanoylcarnitine_c,0.36363636363636365
Enzyme8232__CPT1B_reverse,1,Metab__Dodecanoylcarnitine_c,0.3181818181818182
Enzyme8232__CPT1C_reverse,1,Metab__Dodecanoylcarnitine_c,0.3181818181818182
Enzyme8423__P4HA1,1,Metab__Butanedioic acid_c,1
Enzyme8423__P4HA1,1,Metab__4-Hydroxyproline_c,1
Enzyme8424__P4HA1,1,Metab__Butanedioic acid_m,1
Enzyme8424__P4HA1,1,Metab__4-Hydroxyproline_m,1
Enzyme9727__XDH,1,Metab__Xanthine_c,0.5
HSPB1,1,SP1,0.13636363636363635
IFNG,1,MAP3K1,0.13636363636363635
IFNG,1,PIK3CA,0.13636363636363635
IFNG,1,PIK3R1,0.13636363636363635
IFNG,1,STAT3,0.9545454545454546
IFNG,1,TXN,0.18181818181818182
IFNG,1,XDH,1
LTF,-1,IFNG,1
MAP3K1,1,SP1,0.13636363636363635
MAP3K1,1,STAT3,0.13636363636363635
Metab__L-Aspartic acid_c,1,Enzyme547000002__SLC25A13,1
MYOD1,-1,SP1,0.13636363636363635
P4HA1,1,Enzyme8423__P4HA1,1
P4HA1,1,Enzyme8424__P4HA1,1
PIK3CA,1,SP1,0.13636363636363635
PIK3CA,1,STAT3,0.13636363636363635
PIK3R1,1,SP1,0.13636363636363635
PIK3R1,1,STAT3,0.13636363636363635
PPARA,-1,CPT1A,0.045454545454545456
PPP2CA,1,SP1,0.13636363636363635
SLC47A1,1,Enzyme487500002__SLC47A1,1
SP1,1,SLC47A1,1
STAT3,-1,MYOD1,0.13636363636363635
STAT3,1,CPT1A,0.3181818181818182
STAT3,1,CPT1B,0.3181818181818182
STAT3,1,CPT1C,0.3181818181818182
STAT3,1,HSPB1,0.13636363636363635
TXN,-1,PPARA,0.045454545454545456
TXN,1,SP1,0.18181818181818182
XDH,1,Enzyme1579__XDH,0.5
XDH,1,Enzyme9727__XDH,0.5
