Node1,Sign,Node2,Weight
ACAA2,1,Enzyme9775__ACAA2_HADHB,1
ANPEP,1,Enzyme3631__ANPEP,0.22857142857142856
AOC3,1,Enzyme1030__AOC3,0.08571428571428572
AOC3,1,Enzyme1256__AOC3,0.14285714285714285
AOC3,1,Enzyme16__AOC3,0.14285714285714285
AOC3,1,Enzyme36__AOC3,0.14285714285714285
AOC3,1,Enzyme5505__AOC3,0.11428571428571428
AOC3,1,Enzyme9211__AOC3,0.14285714285714285
ARG1,1,Enzyme3632__ARG1,1
CPT1A,1,Enzyme213__CPT1A,0.5714285714285714
CPT1A,1,Enzyme214__CPT1A_reverse,0.8571428571428571
CPT1A,1,Enzyme6441__CPT1A,0.4
CPT1A,1,Enzyme8233__CPT1A_reverse,0.22857142857142856
CPT1A,1,Enzyme8235__CPT1A,0.22857142857142856
FGF2,1,JUN,0.5714285714285714
Enzyme1030__AOC3,1,Metab__Ammonia_c,0.08571428571428572
Enzyme1256__AOC3,1,Metab__Ammonia_c,0.14285714285714285
Enzyme16__AOC3,1,Metab__Ammonia_c,0.14285714285714285
Enzyme213__CPT1A,1,Metab__L-Palmitoylcarnitine_c,0.5714285714285714
Enzyme214__CPT1A_reverse,1,Metab__L-Palmitoylcarnitine_m,1
Enzyme36__AOC3,1,Metab__Ammonia_c,0.14285714285714285
Enzyme3631__ANPEP,1,Metab__L-Cysteine_c,0.22857142857142856
Enzyme3632__ARG1,1,Metab__L-Ornithine monohydrochloride_c,1
Enzyme452200002__SLC22A9,1,Metab__Dodecanoylcarnitine_c,1
Enzyme4523__CPT2_reverse,1,Metab__Dodecanoylcarnitine_m,0.9428571428571427
Enzyme4523__CRAT_reverse,1,Metab__Dodecanoylcarnitine_m,0.05714285714285714
Enzyme452900002__SLC22A9,1,Metab__Tetradecanoylcarnitine_m,1
Enzyme5505__AOC3,1,Metab__Ammonia_c,0.11428571428571428
Enzyme6441__CPT1A,1,Metab__Tetradecanoylcarnitine_c,0.4
Enzyme8233__CPT1A_reverse,1,Metab__Tetradecanoylcarnitine_c,0.22857142857142856
Enzyme8235__CPT1A,1,Metab__Tetradecanoylcarnitine_c,0.37142857142857144
Enzyme9211__AOC3,1,Metab__Ammonia_c,0.14285714285714285
Enzyme9698__CTH_reverse,1,Metab__L-Cysteine_c,0.7714285714285716
Enzyme9775__ACAA2_HADHB,1,Metab__Lauroyl-coenzyme A_m,1
HLA_DRA,1,IFNG,0.11428571428571428
HLA_DRB1,1,IFNG,0.11428571428571428
IFNG,1,ANPEP,0.11428571428571428
IFNG,1,HLA_A,0.11428571428571428
JUN,-1,CPT1A,0.8571428571428571
JUN,-1,HLA_A,1
JUN,1,ARG1,1
JUN,1,MYB,0.11428571428571428
JUN,1,TNC,1
Metab__Ammonia_c,1,Enzyme9698__CTH_reverse,0.7714285714285716
Metab__Dodecanoylcarnitine_m,1,Enzyme452200002__SLC22A9,1
Metab__Lauroyl-coenzyme A_m,1,Enzyme4523__CPT2_reverse,0.9428571428571427
Metab__Lauroyl-coenzyme A_m,1,Enzyme4523__CRAT_reverse,0.05714285714285714
Metab__Tetradecanoylcarnitine_c,1,Enzyme452900002__SLC22A9,1
MYB,-1,ANPEP,0.11428571428571428
SDC2,1,JUN,0.42857142857142855
TNC,1,FGF2,0.5714285714285714
TNC,1,SDC2,0.42857142857142855
